1920s,Ain't Misbehavin',Fats Waller
1920s,Dark was the Night,Blind Willie Johnson
1920s,Down Hearted Blues,Bessie Smith
1920s,In the Jailhouse Now,Jimmie Rodgers
1920s,Makin' Whoopee!,Bing Crosby
1920s,My Man,Fanny Brice
1920s,Swanee,Al Johnson
1920s,West End Blues,Louis Armstrong
1920s,Willie the Weeper,Louis Armstrong
1920s,You'd be Surprised,Eddie Cantor
1930s,In the Mood,Glenn Miller
1930s,God Bless America,Kate Smith
1930s,Over the Rainbow,Judy Garland / Glenn Miller
1930s,"Sing, Sing, Sing (With a Swing)",Benny Goodman
1930s,"Silent Night, Holy Night",Bing Crosby
1930s,Minnie the Moocher,Cab Calloway
1930s,Strange Fruit,Billie Holiday
1930s,Crossroads Blues ,Robert Johnson
1930s,Moonlight Serenade,Glenn Miller
1930s,If I didn't Care,Ink Spots
1940s,White Christmas,Bing Crosby
1940s,The Christmas Song,"Nat ""King"" Cole"
1940s,God Bless the Children,Billie Holiday
1940s,"Take the ""A"" Train",Duke Ellington
1940s,Star Dyst,Artie Shaw
1940s,Swinging on a Star,Bing Crosby
1940s,You Always Hurt the One You Love,Mills Brothers
1940s,Boogie Woogie Bugle Boy,Andrews Sisters
1940s,Chattanooga Choo Choo,Glen Miller (Tex Beneke & the Modernaires)
1940s,Paper Doll,Mills Brothers
1950s,That's Amore,Dean Martin
1950s,Come Fly with Me,Frank Sinatra
1950s,Jailhouse Rock,Elvis Presley
1950s,I Walk the Line,Johnny Cash
1950s,I've Got You Under My Skin,Frank Sinatra
1950s,In the Mood,Glenn Miller
1950s,All Shook Up,Elvis Presley
1950s,La Bamba ,Ritchie Valens
1950s,You Make Me Feel So Young,Frank Sinatra
1950s,Great Balls of Fire,Jerry Lee Lewis
1960s,Sweet Caroline,Neil Diamond
1960s,Shout,Otis Day and the Knights / Isley Brothers
1960s,Brown Eyed Girl,Van Morrison
1960s,The Way You Look Tonight ,Frank Sinatra
1960s,Twist and Shout,The Beatles
1960s,At Last,Etta James
1960s,What a Wonderful World,Louis Armstrong
1960s,My Girl,Temptations
1960s,Can't Help Falling In Love,Elvis Presley With the Jordanaires
1960s,The Twist,Chubby Checker
1970s,Wonderful Tonight,Eric Clapton
1970s,YMCA,Village People
1970s,Sweet Home Alabama,Lynyrd Skynyrd
1970s,We Are Family,Sister Sledge
1970s,Old Time Rock & Roll,Bob Seger & the Silver Bullet Band
1970s,Don't Stop 'Til You Get Enough,Michael Jackson
1970s,Dancing Queen,ABBA
1970s,Brick House,Commodores
1970s,Play that Funky Music ,Wild Cheery
1970s,How Sweet It Is (To Be Loved By You),James Taylor
1980s,Don't Stop Believin',Journey
1980s,You Shook Me All Night Long ,AC/DC
1980s,Love Shack,B-52's
1980s,Livin' On A Prayer,Bon Jovi
1980s,Pour Some Sugar on Me,Def Leppard
1980s,Billie Jean ,Michael Jackson
1980s,Celebration,Kool & the Gang
1980s,Footloose,Kenny Loggins
1980s,Thriller,Michael Jackson
1980s,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston
1990s,Electric Slide,Marcia Griffiths
1990s,Baby Got Back,Sir Mix-A-Lot
1990s,Friends in Low Places,Garth Brooks
1990s,Cotton Eye Joe,Rednex
1990s,Macarena,Los Del Rio
1990s,Ice Ice Baby,Vanilla Ice
1990s,I Don't Want to Miss A Thing,Aerosmith
1990s,Amazed,Lonestar
1990s,Jump Around,House of Pain
1990s,It's Your Love,Tim McGraw with Faith Hill
2000s,Cupid Shuffle,Cupid
2000s,Cha-Cha Slide,Mr. C The Slide Man
2000s,I Gotta Feeling,Black Eyed Peas
2000s,Single Ladies (Put a Ring On It),Beyonce
2000s,Wobble,V.I.C.
2000s,Yeah,Usher
2000s,SexyBack,Justin Timberlake
2000s,Just Dance,Lady Gaga Ft. Colby O'Donis
2000s,Hey Ya! ,Outkast
2000s,Low,Flo Rida Ft. T-Pain
2010s,Uptown Funk,Mark Ronson Ft. Bruno Mars
2010s,Can't Stop the Feeling!,Justin Timberlake
2010s,Shut Up and Dance,Walk the Moon
2010s,24k Magic,Bruno Mars
2010s,Marry You,Bruno Mars
2010s,Despacito,Luis Fonsi & Daddy Yankee
2010s,Shake it Off,Taylor Swift
2010s,Thinking Out Loud,Ed Sheeran
2010s,Perfect,Ed Sheeran
2010s,Sugar,Maroon 5